iter	Passed	Remaining
0	82	82576
1	86	43412
2	91	30312
3	95	23818
4	107	21323
5	113	18798
6	119	16924
7	124	15475
8	128	14197
9	137	13592
10	165	14858
11	170	14054
12	181	13748
13	185	13078
14	191	12555
15	196	12099
16	200	11615
17	205	11226
18	210	10891
19	214	10530
20	220	10301
21	226	10073
22	230	9811
23	235	9560
24	239	9340
25	244	9144
26	248	8944
27	254	8840
28	259	8690
29	264	8537
30	269	8420
31	273	8271
32	278	8162
33	283	8049
34	289	7979
35	293	7859
36	299	7802
37	304	7705
38	310	7649
39	315	7569
40	320	7491
41	325	7418
42	330	7353
43	334	7274
44	339	7205
45	345	7158
46	349	7081
47	354	7025
48	360	6993
49	364	6928
50	368	6860
51	373	6804
52	379	6779
53	384	6730
54	388	6666
55	393	6629
56	398	6591
57	402	6535
58	407	6494
59	411	6452
60	417	6425
61	421	6382
62	426	6342
63	432	6329
64	438	6313
65	444	6284
66	449	6254
67	455	6237
68	461	6225
69	467	6215
70	479	6269
71	485	6258
72	491	6247
73	496	6212
74	501	6182
75	505	6143
76	512	6143
77	517	6111
78	521	6083
79	527	6063
80	531	6031
81	547	6132
82	553	6110
83	576	6289
84	582	6266
85	586	6235
86	592	6222
87	596	6186
88	601	6161
89	608	6150
90	613	6127
91	620	6125
92	627	6117
93	634	6119
94	649	6183
95	656	6183
96	661	6159
97	665	6125
98	670	6106
99	680	6125
100	688	6125
101	693	6102
102	698	6079
103	704	6071
104	709	6046
105	715	6034
106	720	6013
107	726	5996
108	731	5979
109	736	5958
110	742	5949
111	747	5928
112	753	5910
113	756	5883
114	762	5868
115	768	5858
116	773	5840
117	779	5826
118	783	5799
119	787	5773
120	793	5762
121	798	5743
122	803	5728
123	808	5713
124	812	5688
125	817	5672
126	821	5650
127	826	5630
128	830	5608
129	836	5598
130	841	5579
131	845	5559
132	849	5538
133	853	5518
134	858	5497
135	862	5481
136	876	5523
137	883	5519
138	890	5514
139	894	5495
140	900	5484
141	906	5479
142	910	5456
143	915	5440
144	920	5430
145	925	5413
146	929	5395
147	935	5386
148	940	5369
149	944	5350
150	949	5335
151	954	5326
152	961	5323
153	967	5316
154	972	5299
155	976	5281
156	982	5276
157	989	5274
158	995	5265
159	1004	5272
160	1011	5272
161	1017	5265
162	1024	5260
163	1030	5254
164	1038	5256
165	1046	5257
166	1053	5252
167	1058	5243
168	1064	5235
169	1071	5232
170	1076	5217
171	1080	5201
172	1085	5187
173	1089	5172
174	1094	5159
175	1098	5143
176	1104	5136
177	1109	5121
178	1113	5105
179	1120	5102
180	1126	5097
181	1133	5095
182	1140	5092
183	1146	5085
184	1152	5078
185	1160	5078
186	1169	5082
187	1175	5077
188	1182	5075
189	1188	5068
190	1193	5053
191	1197	5040
192	1203	5032
193	1209	5026
194	1216	5020
195	1221	5010
196	1227	5001
197	1233	4998
198	1239	4991
199	1244	4977
200	1250	4970
201	1254	4957
202	1261	4952
203	1266	4943
204	1273	4936
205	1277	4924
206	1282	4911
207	1287	4900
208	1292	4890
209	1295	4875
210	1301	4868
211	1306	4856
212	1312	4849
213	1318	4842
214	1324	4836
215	1329	4826
